"var_titulo";"var_valoracion";"var_reviews";"var_categoria";"var_latitud";"var_longitud";"var_direccion";"var_plus_code";"var_web";"var_telefono";"var_women_led";"var_horarios";"var_cierre_temp";"var_url_gg"
"diodos formacion";0;0;"Centro de formación";41,6686182;-3,6910489;"Av. Castilla, Pl. Alta, 12b, Oficina B, 09400 Aranda de Duero, Burgos";"M895+CH Aranda de Duero";"diodosformacion.com";"635 44 00 80";"0";"martes, De 9:00 a 13:30, De 17:00 a 20:00; miércoles, De 9:00 a 13:30, De 17:00 a 20:00; jueves, De 9:00 a 13:30, De 17:00 a 20:00; viernes, De 9:00 a 13:30, De 17:00 a 20:00; sábado, De 9:00 a 14:00; domingo, Cerrado; lunes, De 9:00 a 13:30, De 17:00 a 20:00.";"-";"https://www.google.es/maps/place/diodos+formacion/@41.6686182,-3.6998036,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+formaci%C3%B3n!3m4!1s0xd442738715a3bb5:0xc535f11fa685937b!8m2!3d41.6686182!4d-3.6910489"
"Centro Tomás Pascual Sanz";5;1;"Centro de formación";41,663352;-3,6945727;"Avenida Luis Mateos, esquina, Av. Teresa de Jesús Jornet, Parcela 27, 09400 Aranda de Duero, Burgos";"M874+85 Aranda de Duero";"colegiosangabriel.es";"947 54 50 06";"0";"martes, De 8:30 a 21:30; miércoles, De 8:30 a 21:30; jueves, De 8:30 a 21:30; viernes, De 8:30 a 21:30; sábado, De 8:30 a 21:30; domingo, De 8:30 a 21:30; lunes, De 8:30 a 21:30.";"Cerrado temporalmente";"https://www.google.es/maps/place/Centro+Tom%C3%A1s+Pascual+Sanz/@41.663352,-3.7033274,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+formaci%C3%B3n!3m4!1s0xd44270d7542ae91:0xb66526a7f43d6de4!8m2!3d41.663352!4d-3.6945727"
"Centro Público Integrado de Formación Profesional Santa Catalina";3,8;9;"Centro de formación";41,6709481;-3,6769286;"Calle Montelatorre, 11, 09400 Aranda de Duero, Burgos";"M8CF+96 Aranda de Duero";"fpsantacatalina.com";"947 54 63 51";"0";"martes, De 7:45 a 20:45; miércoles, De 7:45 a 20:45; jueves, De 7:45 a 20:45; viernes, De 7:45 a 20:45; sábado, Cerrado; domingo, Cerrado; lunes, De 7:45 a 20:45.";"-";"https://www.google.es/maps/place/Centro+P%C3%BAblico+Integrado+de+Formaci%C3%B3n+Profesional+Santa+Catalina/@41.66543,-3.6857506,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+formaci%C3%B3n!3m4!1s0xd442665e6f1569f:0xb8dd3fa2eae21989!8m2!3d41.6709481!4d-3.6769286"
"Sebastian Peluqueros Academia";5;9;"Peluquería";41,6613294;-3,6911024;"Av. Castilla, 69, 09400 Aranda de Duero, Burgos";"M865+GH Aranda de Duero";"speluqueros.com";"606 68 13 88";"0";"martes, De 10:00 a 14:00, De 16:00 a 20:00; miércoles, De 10:00 a 14:00, De 16:00 a 20:00; jueves, De 10:00 a 14:00, De 16:00 a 20:00; viernes, De 10:00 a 14:00, De 16:00 a 20:00; sábado, Cerrado; domingo, Cerrado; lunes, Cerrado.";"-";"https://www.google.es/maps/place/Sebastian+Peluqueros+Academia/@41.6664579,-3.6971889,14z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+est%C3%A9tica!3m4!1s0xd4427445d214431:0x8d9b22e653aeb039!8m2!3d41.6613294!4d-3.6911024"
"Peluqueria Anabella";4,1;13;"Peluquería";41,6713117;-3,6870858;"Calle Isilla, 3, 09400 Aranda de Duero, Burgos";"M8C7+G5 Aranda de Duero";"peluqueriaanabella.es";"947 50 13 01";"0";"martes, De 10:00 a 20:00; miércoles, De 10:00 a 20:00; jueves, De 10:00 a 20:00; viernes, De 9:30 a 20:00; sábado, De 9:00 a 14:00; domingo, Cerrado; lunes, De 10:00 a 20:00.";"-";"https://www.google.es/maps/place/Peluqueria+Anabella/@41.6664595,-3.6871581,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+est%C3%A9tica!3m4!1s0xd44265d29780ea7:0xd8b475ad4ed3f071!8m2!3d41.6713117!4d-3.6870858"
"Corta-T Peluquería y Estética unisex";5;24;"Peluquería";41,6689126;-3,6903053;"Ctra. Estación, 1, 09400 Aranda de Duero, Burgos";"M895+HV Aranda de Duero";"0";"947 10 78 36";"0";"martes, De 9:30 a 14:00, De 16:00 a 20:00; miércoles, De 9:30 a 14:00; jueves, De 9:30 a 14:00, De 16:00 a 20:00; viernes, De 9:00 a 20:00; sábado, De 9:00 a 14:00; domingo, Cerrado; lunes, De 15:30 a 20:00.";"-";"https://www.google.es/maps/place/Corta-T+Peluquer%C3%ADa+y+Est%C3%A9tica+unisex/@41.6689126,-3.69906,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+est%C3%A9tica!3m4!1s0xd44265a537c9481:0xcdc78dfc12523d78!8m2!3d41.6689126!4d-3.6903053"
"Yves Rocher - Aranda de Duero";4,6;34;"Tienda de productos de belleza";41,6712878;-3,685678;"Calle Isilla, 26, 09400 Aranda de Duero, Burgos";"M8C7+GP Aranda de Duero";"yves-rocher.es";"947 51 18 74";"0";"martes, De 10:00 a 14:00, De 17:30 a 20:00; miércoles, De 10:00 a 14:00, De 17:30 a 20:00; jueves, De 10:00 a 14:00, De 17:30 a 20:00; viernes, De 10:00 a 14:00, De 17:30 a 20:00; sábado, De 10:00 a 14:00; domingo, Cerrado; lunes, De 10:00 a 14:00, De 17:30 a 20:00.";"-";"https://www.google.es/maps/place/Yves+Rocher+-+Aranda+de+Duero/@41.6664595,-3.6871581,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+est%C3%A9tica!3m4!1s0xd44265cd014900b:0x7d779bf0d6112562!8m2!3d41.6712878!4d-3.685678"
"Solarium Hombre Vers@til";0;0;"Centro de estética";41,6635862;-3,6909085;"Av. Castilla, 09400 Aranda de Duero, Burgos";"M875+CJ Aranda de Duero";"0";"0";"0";".";"Cerrado temporalmente";"https://www.google.es/maps/place/Solarium+Hombre+Vers@til/@41.6635862,-3.6996632,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+est%C3%A9tica!3m4!1s0xd442658455bfd8b:0x9cf45992c2724349!8m2!3d41.6635862!4d-3.6909085"
"Uñas";3;1;"Centro de estética";41,6701905;-3,6894073;"Plaza Mayor, 3, 09400 Aranda de Duero, Burgos";"M8C6+36 Aranda de Duero";"0";"653 33 17 49";"0";"martes, De 10:00 a 21:00; miércoles, De 10:00 a 21:00; jueves, De 10:00 a 21:00; viernes, De 10:00 a 21:00; sábado, De 10:00 a 21:00; domingo, Cerrado; lunes, De 10:00 a 21:00.";"Cerrado temporalmente";"https://www.google.es/maps/place/U%C3%B1as/@41.6701905,-3.698162,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+est%C3%A9tica!3m4!1s0xd4427251dda55d1:0x9fad6d2a4ffba030!8m2!3d41.6701905!4d-3.6894073"
"Peluquería María";0;0;"Centro de estética";41,6660507;-3,6922559;"Calle Rosales, 10, 09400 Aranda de Duero, Burgos";"M885+C3 Aranda de Duero";"0";"947 50 31 99";"0";".";"Cerrado temporalmente";"https://www.google.es/maps/place/Peluquer%C3%ADa+Mar%C3%ADa/@41.6660507,-3.7010106,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+est%C3%A9tica!3m4!1s0xd442659e5382193:0xbd2baccd2cdedbbf!8m2!3d41.6660507!4d-3.6922559"
"Quirosilva";0;0;"Centro de estética";41,6710986;-3,6867589;"Calle Isilla, 10, 1B, 09400 Aranda de Duero, Burgos";"M8C7+C7 Aranda de Duero";"maria-silva.ueniweb.com";"634 84 88 23";"0";"martes, De 10:00 a 20:00; miércoles, De 10:00 a 20:00; jueves, De 10:00 a 20:00; viernes, De 10:00 a 20:00; sábado, Cerrado; domingo, Cerrado; lunes, De 10:00 a 20:00.";"-";"https://www.google.es/maps/place/Quirosilva/@41.6664595,-3.6871581,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+est%C3%A9tica!3m4!1s0xd4427371f224893:0x2d992bff6e26f10e!8m2!3d41.6710986!4d-3.6867589"
"Salon de belleza";0;0;"Centro de estética";41,6723193;-3,6860542;"Calle San Antonio, 11, 09400 Aranda de Duero, Burgos";"M8C7+WH Aranda de Duero";"0";"0";"0";".";"Cerrado temporalmente";"https://www.google.es/maps/place/Salon+de+belleza/@41.6664595,-3.6871581,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+est%C3%A9tica!3m4!1s0xd44264330d804ab:0x5b13ebfa21a5d5b3!8m2!3d41.6723193!4d-3.6860542"
"Peluqueria y estética Nueva Imagen";4,5;2;"Centro de estética";41,6709936;-3,6858167;"Plaza Constitución, 5, 09400 Aranda de Duero, Burgos";"M8C7+9M Aranda de Duero";"0";"947 51 28 19";"0";"martes, De 10:00 a 13:30, De 16:00 a 19:30; miércoles, De 10:00 a 13:30, De 16:00 a 19:30; jueves, De 10:00 a 19:30; viernes, De 9:30 a 19:30; sábado, De 9:30 a 13:30; domingo, Cerrado; lunes, Cerrado.";"-";"https://www.google.es/maps/place/Peluqueria+y+est%C3%A9tica+Nueva+Imagen/@41.6664595,-3.6871581,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+est%C3%A9tica!3m4!1s0xd4427d5240ace45:0x5255399b34b3df45!8m2!3d41.6709936!4d-3.6858167"
"Centro de Estética Diana Silva";0;0;"Centro de estética";41,671794;-3,6836611;"Calle Isilla, 10, 1B, 09400 Aranda de Duero, Burgos";"M8C8+PG Aranda de Duero";"0";"0";"0";"0";"-";"https://www.google.es/maps/place/Centro+de+Est%C3%A9tica+Diana+Silva/@41.6664595,-3.6871581,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+est%C3%A9tica!3m4!1s0xd4427762c0f0975:0xea0597ec55944788!8m2!3d41.671794!4d-3.6836611"
"Centro de Salud y Belleza";0;0;"Centro de estética";41,6690089;-3,6914035;"Av. Ruperta Baraya, 1, 09400 Aranda de Duero, Burgos";"M895+JC Aranda de Duero";"0";"0";"0";".";"Cerrado temporalmente";"https://www.google.es/maps/place/Centro+de+Salud+y+Belleza/@41.6690089,-3.7001582,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+est%C3%A9tica!3m4!1s0xd44265a5e3558b1:0x4a0ce541065baaa9!8m2!3d41.6690089!4d-3.6914035"
"Carmen Reguero";4,9;14;"Centro de estética";41,6713185;-3,687336;"Calle Josefina Arias de Miranda, 2, 09400 Aranda de Duero, Burgos";"M8C7+G3 Aranda de Duero";"0";"947 50 73 91";"0";"martes, De 10:00 a 14:00, De 16:00 a 20:00; miércoles, De 10:00 a 14:00, De 16:00 a 20:00; jueves, De 10:00 a 14:00, De 16:00 a 20:00; viernes, De 10:00 a 20:00; sábado, De 9:00 a 14:00; domingo, Cerrado; lunes, De 10:00 a 14:00, De 16:00 a 20:00.";"-";"https://www.google.es/maps/place/Carmen+Reguero/@41.6664595,-3.6871581,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+est%C3%A9tica!3m4!1s0xd44265ca8d32a3b:0x50bfb6a6e6b6a7b4!8m2!3d41.6713185!4d-3.687336"
"Salon de belleza Ana";4,8;41;"Centro de estética";41,6699489;-3,6876766;"Calle Postas, 13, 09400 Aranda de Duero, Burgos";"M896+XW Aranda de Duero";"0";"947 51 28 68";"0";"martes, De 9:00 a 21:00; miércoles, De 9:00 a 21:00; jueves, De 9:00 a 21:00; viernes, De 9:00 a 21:00; sábado, De 10:00 a 14:00; domingo, Cerrado; lunes, De 9:00 a 21:00.";"-";"https://www.google.es/maps/place/Salon+de+belleza+Ana/@41.6664595,-3.6871581,15z/data=!4m8!1m2!2m1!1s+Aranda+de+Duero+Centro+de+est%C3%A9tica!3m4!1s0xd44265d247009d5:0xa275177b317fcfdc!8m2!3d41.6699489!4d-3.6876766"
